node_id,x,y,degree_at_node_0,degree_at_node_1,degree_at_node_2,degree_at_node_3,degree_at_node_4,degree_at_node_5,degree_at_node_6,degree_at_node_7,degree_at_node_8,degree_at_node_9,degree_at_node_10,degree_at_node_11,degree_at_node_12,degree_at_node_13,degree_at_node_14,degree_at_node_15,degree_at_node_16,degree_at_node_17,degree_at_node_18,degree_at_node_19,degree_at_node_20,degree_at_node_21,degree_at_node_22,degree_at_node_23,degree_at_node_24,degree_at_node_25,degree_at_node_26,degree_at_node_27,degree_at_node_28,degree_at_node_29,degree_at_node_30,degree_at_node_31,degree_at_node_32,degree_at_node_33,degree_at_node_34,degree_at_node_35,degree_at_node_36,degree_at_node_37,degree_at_node_38,degree_at_node_39,degree_at_node_40,degree_at_node_41,degree_at_node_42,degree_at_node_43,degree_at_node_44,degree_at_node_45,degree_at_node_46,degree_at_node_47,degree_at_node_48,degree_at_node_49,degree_at_node_50,degree_at_node_51,degree_at_node_52,degree_at_node_53,degree_at_node_54,degree_at_node_55,degree_at_node_56,degree_at_node_57,degree_at_node_58,degree_at_node_59,target_0_x,target_0_y,target_1_x,target_1_y
15,-4.93752526384478,-0.6885815977149874,4,6,7,5,3,3,3,4,2,3,5,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6855926971144313,0.3340031039354616,-3.6040707197645023,1.271924183844244
16,1.3551973465247906,1.179796449399321,4,7,7,5,4,3,3,4,2,3,5,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,-0.7404254024283325,1.41003903995753
17,2.8287997935688542,-2.22509367383031,4,7,7,5,4,3,3,4,3,4,5,3,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.680376276568161,-0.6270990685184819,0.4674690931572574,-1.4475312021135827
18,1.8161582713418003,2.4928914166257794,4,7,8,5,4,3,3,4,3,4,6,3,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4428382455446025,0.04560861092717028,0.4502565152570366,0.09503172751073574
19,-0.9762785023492535,1.208760154465602,4,7,9,6,4,3,3,4,3,4,6,3,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4428382455446025,0.04560861092717028,-1.6855926971144313,0.3340031039354616
20,4.560194167365321,1.250178963044168,4,7,9,6,4,3,3,5,4,4,6,3,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.680376276568161,-0.6270990685184819,1.0970108166040093,-0.9630888865465215
21,-2.6849630929556105,2.0278731929105183,4,7,9,6,4,3,3,5,4,4,6,3,2,2,2,2,3,2,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3551973465247906,1.179796449399321,-0.9762785023492535,1.208760154465602
22,-5.0,-0.07110215511978124,4,7,9,6,4,3,4,5,4,4,6,3,2,2,2,2,3,2,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.6849630929556105,2.0278731929105183,-3.6040707197645023,1.271924183844244
23,3.669951229227575,-1.8910771168204699,4,7,9,7,4,3,4,6,4,4,6,3,2,2,2,2,3,2,2,3,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.6855926971144313,0.3340031039354616,1.0970108166040093,-0.9630888865465215
24,-0.04749448124853739,-1.5130082689647129,4,8,9,7,4,3,4,6,4,4,6,3,2,2,2,2,3,2,2,4,2,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6186714168029059,-0.45857014093585224,-0.9762785023492535,1.208760154465602
